name,type,subtype,variable,outcome,notes
V0001,dwelling,dwelling,Occupied private dwelling type,Separate House,
V0002,dwelling,dwelling,Occupied private dwelling type,Two or More Flats/Units/Townhouses/ Apartments/Houses Joined Together,
V0003,dwelling,dwelling,Occupied private dwelling type,Other Occupied Private Dwellings,Consists of mobile and improvised dwellings roofless or rough sleepers and dwellings in a motor camp. In 2001 this category was called Temporary Private Dwellings.
V0004,dwelling,dwelling,Occupied private dwelling type,Occupied Private Dwelling Not Further Defined,
V0005,dwelling,dwelling,Occupied private dwelling type,Total occupied private dwellings,
V0006,dwelling,dwelling,Dwelling record type for occupied dwellings,Occupied Private Dwelling,
V0007,dwelling,dwelling,Dwelling record type for occupied dwellings,Occupied Non-private Dwelling,
V0008,dwelling,dwelling,Dwelling record type for occupied dwellings,Total occupied dwellings,
V0009,dwelling,dwelling,Number of rooms for occupied private dwellings,One Room,
V0010,dwelling,dwelling,Number of rooms for occupied private dwellings,Two Rooms,
V0011,dwelling,dwelling,Number of rooms for occupied private dwellings,Three Rooms,
V0012,dwelling,dwelling,Number of rooms for occupied private dwellings,Four Rooms,
V0013,dwelling,dwelling,Number of rooms for occupied private dwellings,Five Rooms,
V0014,dwelling,dwelling,Number of rooms for occupied private dwellings,Six Rooms,
V0015,dwelling,dwelling,Number of rooms for occupied private dwellings,Seven Rooms,
V0016,dwelling,dwelling,Number of rooms for occupied private dwellings,Eight or More Rooms,
V0017,dwelling,dwelling,Number of rooms for occupied private dwellings,Total dwellings stated,
V0018,dwelling,dwelling,Number of rooms for occupied private dwellings,Not Elsewhere Included,Consists of response unidentifiable and not stated.
V0019,dwelling,dwelling,Number of rooms for occupied private dwellings,Total occupied private dwellings,
V0020,dwelling,dwelling,Number of bedrooms for occupied private dwellings,One Bedroom,
V0021,dwelling,dwelling,Number of bedrooms for occupied private dwellings,Two Bedrooms,
V0022,dwelling,dwelling,Number of bedrooms for occupied private dwellings,Three Bedrooms,
V0023,dwelling,dwelling,Number of bedrooms for occupied private dwellings,Four Bedrooms,
V0024,dwelling,dwelling,Number of bedrooms for occupied private dwellings,Five Bedrooms,
V0025,dwelling,dwelling,Number of bedrooms for occupied private dwellings,Six Bedrooms,
V0026,dwelling,dwelling,Number of bedrooms for occupied private dwellings,Seven Bedrooms,
V0027,dwelling,dwelling,Number of bedrooms for occupied private dwellings,Eight or More Bedrooms,
V0028,dwelling,dwelling,Number of bedrooms for occupied private dwellings,Total dwellings stated,
V0029,dwelling,dwelling,Number of bedrooms for occupied private dwellings,Not Elsewhere Included,Consists of response unidentifiable and not stated.
V0030,dwelling,dwelling,Number of bedrooms for occupied private dwellings,Total occupied private dwellings,
V0031,dwelling,dwelling,Number of bedrooms for occupied private dwellings,Mean Number of Bedrooms,
V0032,dwelling,dwelling,Fuel types used to heat dwellings (total responses) for occupied private dwellings,Electricity,Occupied private dwellings using more than one fuel type for heating were counted in each stated category. Therefore the total responses in the table will be more than the total number of private occupied dwellings.
V0033,dwelling,dwelling,Fuel types used to heat dwellings (total responses) for occupied private dwellings,Mains Gas,Occupied private dwellings using more than one fuel type for heating were counted in each stated category. Therefore the total responses in the table will be more than the total number of private occupied dwellings.
V0034,dwelling,dwelling,Fuel types used to heat dwellings (total responses) for occupied private dwellings,Bottled Gas,Occupied private dwellings using more than one fuel type for heating were counted in each stated category. Therefore the total responses in the table will be more than the total number of private occupied dwellings.
V0035,dwelling,dwelling,Fuel types used to heat dwellings (total responses) for occupied private dwellings,Wood,Occupied private dwellings using more than one fuel type for heating were counted in each stated category. Therefore the total responses in the table will be more than the total number of private occupied dwellings.
V0036,dwelling,dwelling,Fuel types used to heat dwellings (total responses) for occupied private dwellings,Coal,Occupied private dwellings using more than one fuel type for heating were counted in each stated category. Therefore the total responses in the table will be more than the total number of private occupied dwellings.
V0037,dwelling,dwelling,Fuel types used to heat dwellings (total responses) for occupied private dwellings,Solar Power,Occupied private dwellings using more than one fuel type for heating were counted in each stated category. Therefore the total responses in the table will be more than the total number of private occupied dwellings.
V0038,dwelling,dwelling,Fuel types used to heat dwellings (total responses) for occupied private dwellings,No Fuels Used in this Dwelling,Occupied private dwellings using more than one fuel type for heating were counted in each stated category. Therefore the total responses in the table will be more than the total number of private occupied dwellings.
V0039,dwelling,dwelling,Fuel types used to heat dwellings (total responses) for occupied private dwellings,Other Fuel(s),Occupied private dwellings using more than one fuel type for heating were counted in each stated category. Therefore the total responses in the table will be more than the total number of private occupied dwellings.
V0040,dwelling,dwelling,Fuel types used to heat dwellings (total responses) for occupied private dwellings,Total dwellings stated,Occupied private dwellings using more than one fuel type for heating were counted in each stated category. Therefore the total responses in the table will be more than the total number of private occupied dwellings.
V0041,dwelling,dwelling,Fuel types used to heat dwellings (total responses) for occupied private dwellings,Not Elsewhere Included,"Occupied private dwellings using more than one fuel type for heating were counted in each stated category. Therefore the total responses in the table will be more than the total number of private occupied dwellings.;

In 2001 data consisted of not stated. In 2006 and 2013 data consisted of response unidentifiable and not stated."
V0042,dwelling,dwelling,Fuel types used to heat dwellings (total responses) for occupied private dwellings,Total occupied private dwellings,Occupied private dwellings using more than one fuel type for heating were counted in each stated category. Therefore the total responses in the table will be more than the total number of private occupied dwellings.
V0043,family,family,Total families in occupied private dwellings,,
V0044,family,family,Family type for families in occupied private dwellings,Couple without children,
V0045,family,family,Family type for families in occupied private dwellings,Couple with child(ren),
V0046,family,family,Family type for families in occupied private dwellings,One parent with child(ren),
V0047,family,family,Family type for families in occupied private dwellings,Total families in occupied private dwellings,
V0048,family,income,Total family income (grouped) for families in occupied private dwellings,$20000 or Less,"Total family income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total family income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas.;

A family's total family income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total family income is not available for a small number of families in 2001."
V0049,family,income,Total family income (grouped) for families in occupied private dwellings,$20001-$30000,"Total family income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total family income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas.;

A family's total family income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total family income is not available for a small number of families in 2001."
V0050,family,income,Total family income (grouped) for families in occupied private dwellings,$30001-$50000,"Total family income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total family income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas.;

A family's total family income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total family income is not available for a small number of families in 2001."
V0051,family,income,Total family income (grouped) for families in occupied private dwellings,$50001-$70000,"Total family income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total family income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas.;

A family's total family income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total family income is not available for a small number of families in 2001."
V0052,family,income,Total family income (grouped) for families in occupied private dwellings,$70001-$100000,"Total family income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total family income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas.;

A family's total family income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total family income is not available for a small number of families in 2001."
V0053,family,income,Total family income (grouped) for families in occupied private dwellings,$100001 or More,"Total family income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total family income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas.;

A family's total family income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total family income is not available for a small number of families in 2001."
V0054,family,income,Total family income (grouped) for families in occupied private dwellings,Total families stated,"Total family income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total family income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas.;

A family's total family income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total family income is not available for a small number of families in 2001."
V0055,family,income,Total family income (grouped) for families in occupied private dwellings,Not Stated,"Total family income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total family income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas.;

A family's total family income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total family income is not available for a small number of families in 2001.;

Consists of families where one or more family members aged 15 years and over were temporarily absent from the dwelling or did not state their income. In 2001 and 2006 if the accumulated family income (excluding the absent person) was already $100001 or more the family was counted in the appropriate income category. In 2013 if the accumulated family income (excluding the absent person) was already $150001 or more the family was counted in the appropriate income category"
V0056,family,income,Total family income (grouped) for families in occupied private dwellings,Total families in occupied private dwellings,"Total family income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total family income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas.;

A family's total family income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total family income is not available for a small number of families in 2001."
V0057,family,income,Total family income (grouped) for families in occupied private dwellings,Median family income ($),"Total family income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total family income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas.;

A family's total family income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total family income is not available for a small number of families in 2001.;

For categories with small populations the median income may not look as expected because of the effect of random rounding.;

Median total family income is rounded to the nearest $100."
V0058,family,income,Sources of family income for families in occupied private dwellings,Wages Salary Commissions Bonuses etc,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0059,family,income,Sources of family income for families in occupied private dwellings,Self-employment or Business,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0060,family,income,Sources of family income for families in occupied private dwellings,Interest Dividends Rent Other Invest.,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0061,family,income,Sources of family income for families in occupied private dwellings,Payments from a Work Accident Insurer,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0062,family,income,Sources of family income for families in occupied private dwellings,NZ Superannuation or Veterans Pension,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0063,family,income,Sources of family income for families in occupied private dwellings,Other Super. Pensions Annuities,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0064,family,income,Sources of family income for families in occupied private dwellings,Unemployment Benefit,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0065,family,income,Sources of family income for families in occupied private dwellings,Sickness Benefit,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0066,family,income,Sources of family income for families in occupied private dwellings,Domestic Purposes Benefit,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0067,family,income,Sources of family income for families in occupied private dwellings,Invalids Benefit,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0068,family,income,Sources of family income for families in occupied private dwellings,Student Allowance,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0069,family,income,Sources of family income for families in occupied private dwellings,Other Govt Benefits Payments or Pension,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0070,family,income,Sources of family income for families in occupied private dwellings,Other Sources of Income,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0071,family,income,Sources of family income for families in occupied private dwellings,No Source of Income During That Time,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
